idiom,language,frequency,source_idiom,source_language
stå på eigne bein,nno,9341.0,stå på egne bein,nob
stå på farten,nno,159.0,stå på farten,nob
stå på gata,nno,1175.0,stå på gaten,nob
stå på gløtt,nno,9558.0,stå på gløtt,nob
stå på pinne for,nno,4996.0,stå på pinne for,nob
stå på programmet,nno,7839.0,stå på programmet,nob
stå på reisefot,nno,108.0,stå på reisefot,nob
stå på retten sin,nno,217.0,stå på sin rett,nob
stå som sild i tønne,nno,1558.0,stå som sild i tønne,nob
stå til teneste,nno,6764.0,stå til tjeneste,nob
stå til truande,nno,363.0,stå til troende,nob
stå ved makt,nno,18876.0,stå ved makt,nob
støv på hjernen,nno,17290.0,støv på hjernen,nob
soge av eige bryst,nno,102.0,sugd av eget bryst,nob
suga på labben,nno,295.0,suge på labben,nob
surr og rot,nno,857.0,surr og rot,nob
svare med same mynt,nno,239.0,svare med samme mynt,nob
svart og kvitt,nno,8921.0,svart og hvitt,nob
svart som bek,nno,2148.0,svart som bek,nob
svi på pungen,nno,3192.0,svi på pungen,nob
sy puter under armane,nno,586.0,sy puter under armene,nob
sju magre år,nno,2515.0,syv magre år,nob
så det forslår,nno,10069.0,så det forslår,nob
så det luktar svidd,nno,139.0,så det lukter svidd,nob
så det suser,nno,54663.0,så det suser,nob
så det svir,nno,15629.0,så det svir,nob
så fillene fyk,nno,612.0,så fillene fyker,nob
"så langt, så godt",nno,3235.0,"så langt, så godt",nob
"så lenge det er liv, er det håp",nob,5710.0,"så lenge det er liv, er det håp",nno
så sikkert som at to og to er fire,nno,155.0,så sikkert som at to og to er fire,nob
så snill som dagen er lang,nno,630.0,så snill som dagen er lang,nob
så øra flagrar,nno,112.0,så ørene flagrer,nob
sånn er livet,nno,691895.0,sånn er livet,nob
sånn midt på treet,nno,8497.0,sånn midt på treet,nob
sunder og saman,nno,228.0,sønder og sammen,nob
søt som honning,nno,1834.0,søt som honning,nob
ta beina fatt,nno,18730.0,ta beina fatt,nob
ta beina på nakken,nno,1862.0,ta beina på nakken,nob
ta bladet frå munnen,nno,659.0,ta bladet fra munnen,nob
ta det med ro,nno,228935.0,ta det med ro,nob
ta det sikre for det usikre,nno,142.0,ta det sikre for det usikre,nob
ta det som det kjem,nno,1248.0,ta det som det kommer,nob
ta ein spansk ein,nno,126.0,ta en spansk en,nob
ta eit tak,nno,17472.0,ta et tak,nob
ta for seg av rettene,nno,776.0,ta for seg av rettene,nob
ta første stikk,nno,778.0,ta første stikk,nob
ta i miss,nno,1453.0,ta i miss,nob
ta livet med ro,nno,10891.0,ta livet med ro,nob
ta lova i eigne hender,nno,220.0,ta loven i egne hender,nob
ta mannen i staden for ballen,nno,245.0,ta mannen i stedet for ballen,nob
ta med ei klype salt,nno,705.0,ta med en klype salt,nob
ta meg faen,nno,703.0,ta meg faen,nob
ta munnen for full,nno,11133.0,ta munnen for full,nob
ta opp hansken,nno,7065.0,ta opp hansken,nob
ta opp tråden,nno,11961.0,ta opp tråden,nob
ta på fersk gjerning,nno,281.0,ta på fersk gjerning,nob
ta på fersken,nno,136.0,ta på fersken,nob
ta på kornet,nno,467.0,ta på kornet,nob
ta på kreftene,nno,1464.0,ta på kreftene,nob
ta rev i segla,nno,759.0,ta rev i seilene,nob
ta seg fem minutt,nno,116.0,ta seg fem minutter,nob
ta seg godt betalt,nno,2163.0,ta seg godt betalt,nob
ta seg godt ut,nno,15298.0,ta seg godt ut,nob
ta seg i vare,nno,10263.0,ta seg i vare,nob
ta seg på tak,nno,2600.0,ta seg på tak,nob
ta seg saman,nno,4350.0,ta seg sammen,nob
ta seg vatn over hovudet,nno,372.0,ta seg vann over hodet,nob
ta sin hatt og gå,nno,10484.0,ta sin hatt og gå,nob
ta skeia i ei anna hand,nno,789.0,ta skjeen i en annen hånd,nob
ta steget fullt ut,nno,3851.0,ta skrittet fullt ut,nob
ta til motmæle,nno,32269.0,ta til motmæle,nob
ta tyren ved horna,nno,232.0,ta tyren ved hornene,nob
takk og farvel,nno,57930.0,takk og farvel,nob
takk skal du ha,nno,91127.0,takk skal du ha,nob
takt og tone,nno,114351.0,takt og tone,nob
tale Roma midt imot,nno,2598.0,tale Roma midt imot,nob
tale i gåter,nno,530.0,tale i gåter,nob
tale i tunger,nno,6536.0,tale i tunger,nob
tale med to tunger,nno,3390.0,tale med to tunger,nob
tanker er tollfrie,nob,606.0,tankar er tollfrie,nno
tann for tunge,nno,8316.0,tann for tunge,nob
tant og fjas,nno,5712.0,tant og fjas,nob
tap og vinn med samme sinn,nob,4898.0,tap og vinn med same sinn,nno
tap og vinn med same sinn,nno,540.0,tap og vinn med samme sinn,nob
tapt bak ei vogn,nno,1067.0,tapt bak en vogn,nob
teikna seg på talarlista,nno,222.0,tegne seg på talerlista,nob
tenkja i nye banar,nno,323.0,tenke i nye baner,nob
tenkja seg om,nno,7088.0,tenke seg om,nob
tenkja seg om to gonger,nno,336.0,tenke seg om to ganger,nob
tenkte eg det ikkje,nno,547.0,tenkte jeg det ikke,nob
terningen er kasta,nno,525.0,terningen er kastet,nob
tett som sild i tønne,nno,1092.0,tett som sild i tønne,nob
tiden leger alle sår,nob,10049.0,tida lækjer alle sår,nno
tida vil visa,nno,1359.0,tiden vil vise,nob
til all lykke,nno,10837.0,til all lykke,nob
i ei viss grad,nno,821.0,til en viss grad,nob
til evig tid,nno,139353.0,til evig tid,nob
på land og sjø,nno,34746.0,til lands og til vanns,nob
til si tid,nno,2448.0,til sin tid,nob
til spott og spe,nno,20821.0,til spott og spe,nob
til sjuande og sist,nno,32712.0,til syvende og sist,nob
til å ta og kjenna på,nno,278.0,til å ta og føle på,nob
tilbake i manesjen,nno,6281.0,tilbake i manesjen,nob
tena to herrar,nno,841.0,tjene to herrer,nob
to alen av same stykke,nno,576.0,to alen av samme stykke,nob
to alen av same stykket,nno,152.0,to alen av samme stykket,nob
to og to er fire,nno,5537.0,to og to er fire,nob
to steg fram og eitt tilbake,nno,101.0,to skritt frem og ett tilbake,nob
tomme tønner ramler mest,nob,1510.0,tomme tønner ramlar mest,nno
tomme tønner ramlar mest,nno,174.0,tomme tønner ramler mest,nob
toppen av kransekaka,nno,5768.0,toppen av kransekaka,nob
tornar og tistlar,nno,107.0,torner og tistler,nob
tort og svie,nno,35497.0,tort og svie,nob
trampa i klaveret,nno,531.0,trampe i klaveret,nob
gå på do,nno,33181.0,tre av på naturens vegne,nob
tre i bakgrunnen,nno,5049.0,tre i bakgrunnen,nob
tre i kraft,nno,204690.0,tre i kraft,nob
trekkja det lengste strået,nno,145.0,trekke det lengste strå,nob
trekkja i trådane,nno,111.0,trekke i trådene,nob
trekkja på åra,nno,113.0,trekke på årene,nob
tretten til bords,nno,5602.0,tretten til bords,nob
trinn for trinn,nno,45235.0,trinn for trinn,nob
trivst som fisken i vatnet,nno,139.0,trives som fisken i vannet,nob
tru meg på mitt ord,nno,208.0,tro meg på mitt ord,nob
tru på julenissen,nno,1674.0,tro på julenissen,nob
troll i ord,nno,22764.0,troll i ord,nob
trykkja på knappen,nno,421.0,trykke på knappen,nob
trakka i salaten,nno,238.0,tråkke i salaten,nob
trakka nokon på tærne,nno,145.0,tråkke noen på tærne,nob
tull og tøys,nno,43382.0,tull og tøys,nob
tung om hjartet,nno,134.0,tung om hjertet,nob
tunga på vektskåla,nno,5922.0,tungen på vektskålen,nob
ugler i mosen,nno,62852.0,ugler i mosen,nob
under fire auge,nno,506.0,under fire øyne,nob
under lås og slå,nno,4340.0,under lås og slå,nob
under same tak,nno,13836.0,under samme tak,nob
ut i det blå,nno,49593.0,ut i det blå,nob
ut i verda,nno,31361.0,ut i verden,nob
ut å køyra,nno,443.0,ut å kjøre,nob
"uten mat og drikke, duger helten ikke",nob,4906.0,"utan mat og drikke, duger helten ikkje",nno
ute av verda,nno,5532.0,ute av verden,nob
utan lov og dom,nno,1908.0,uten lov og dom,nob
utan mat og drikke duger helten ikkje,nno,263.0,uten mat og drikke duger helten ikke,nob
utan samanlikning elles,nno,832.0,uten sammenligning for øvrig,nob
utlevera seg sjølv,nno,104.0,utlevere seg selv,nob
valuta for pengane,nno,4940.0,valuta for pengene,nob
vatn i munnen,nno,1145.0,vann i munnen,nob
vatn på mølla,nno,2015.0,vann på mølla,nob
ved høglys dag,nno,950.0,ved høylys dag,nob
ved neste korsveg,nno,12084.0,ved neste korsvei,nob
ved nærare ettertanke,nno,1811.0,ved nærmere ettertanke,nob
ved sine fulle fem,nno,24569.0,ved sine fulle fem,nob
vega for og imot,nno,188.0,veie for og imot,nob
vekk som ei sviske,nno,503.0,vekk som en sviske,nob
vel å merka,nno,5087.0,vel å merke,nob
velja mellom pest og kolera,nno,130.0,velge mellom pest og kolera,nob
vende kappen etter vinden,nno,400.0,vende kappen etter vinden,nob
vende ryggen til,nno,22431.0,vende ryggen til,nob
vende tilbake til gamle synder,nno,115.0,vende tilbake til gamle synder,nob
vende tilbake til gamle tomter,nno,193.0,vende tilbake til gamle tomter,nob
verda er ikkje stor,nno,269.0,verden er ikke stor,nob
me er alle i same båt,nno,138.0,vi er alle i samme båt,nob
me er i same båt,nno,139.0,vi er i samme båt,nob
"vi vet hva vi har, men ikke hva vi får",nob,2865.0,"vi veit kva vi har, men ikkje kva vi får",nno
viljen drar halve lasset,nob,157.0,viljen dreg halve lasset,nno
ville ha både i pose og sekk,nno,771.0,ville ha både i pose og sekk,nob
vinden blæs dit han vil,nno,260.0,vinden blåser dit den vil,nob
vinden har snudd,nno,3620.0,vinden har snudd,nob
visa seg frå si beste side,nno,236.0,vise seg fra sin beste side,nob
vise sitt sanne ansikt,nno,2277.0,vise sitt sanne ansikt,nob
vri kniven rundt,nno,965.0,vri kniven rundt,nob
vri seg unna,nno,38238.0,vri seg unna,nob
vakne til liv,nno,4828.0,våkne til liv,nob
væpna til tennene,nno,808.0,væpnet til tennene,nob
vera bryet verd,nno,105.0,være bryet verdt,nob
vera eit tilbakelagt stadium,nno,109.0,være en saga blott,nob
vera ei sak for seg,nno,156.0,være en sak for seg,nob
vera fluge på veggen,nno,108.0,være flue på veggen,nob
vera for handa,nno,115.0,være for hånden,nob
vera føre var,nno,2406.0,være føre var,nob
vera godt skodd,nno,168.0,være godt skodd,nob
vera i boks,nno,522.0,være i boks,nob
vera i dei beste hender,nno,430.0,være i de beste hender,nob
vera i ferd med,nno,1006.0,være i ferd med,nob
vera i god form,nno,760.0,være i god form,nob
vera i god stand,nno,1121.0,være i god stand,nob
vera i rute,nno,642.0,være i rute,nob
vera i seng,nno,328.0,være i seng,nob
vera i tipp topp stand,nno,122.0,være i tipp topp stand,nob
vera i vinden,nno,192.0,være i vinden,nob
vera ille ute,nno,302.0,være ille ute,nob
vera lettare sagt enn gjort,nno,156.0,være lettere sagt enn gjort,nob
vera like gode,nno,1503.0,være like gode,nob
vera like langt,nno,250.0,være like langt,nob
vera like om hjørnet,nno,133.0,være like om hjørnet,nob
vera liv laga,nno,3634.0,være liv laga,nob
vera med i spelet,nno,265.0,være med i spillet,nob
vera med på leiken,nno,823.0,være med på leken,nob
vera med på moroa,nno,465.0,være med på moroa,nob
vera mykje om å gjera,nno,214.0,være mye om å gjøre,nob
vera mynta på,nno,238.0,være myntet på,nob
vera noko for alle,nno,418.0,være noe for enhver smak,nob
vera noko til kar,nno,222.0,være noe til kar,nob
vera på banen,nno,507.0,være på banen,nob
vera på flyttefot,nno,106.0,være på flyttefot,nob
vera på heimebane,nno,123.0,være på hjemmebane,nob
vera på moten,nno,133.0,være på moten,nob
vera på offensiven,nno,400.0,være på offensiven,nob
vera på plass,nno,17694.0,være på plass,nob
vera på pletten,nno,316.0,være på pletten,nob
vera på tå hev,nno,133.0,være på tå hev,nob
vera på vikande front,nno,114.0,være på vikende front,nob
vera seg sjølv,nno,5754.0,være seg selv,nob
vera så si sak,nno,140.0,være så sin sak,nob
vera til å leva med,nno,336.0,være til å leve med,nob
vera tunga på vektskåla,nno,123.0,være tungen på vektskålen,nob
vera umaken verd,nno,139.0,være umaken verd,nob
vera vel og bra,nno,1502.0,være vel og bra,nob
ope og ærleg,nno,2812.0,åpent og ærlig,nob
opnar alle dører,nno,112.0,åpner alle dører,nob
år for år,nno,171480.0,år for år,nob
år om anna,nno,18570.0,år om annet,nob
år på baken,nno,27633.0,år på baken,nob
år på nakken,nno,7781.0,år på nakken,nob
ærlighet varer lengst,nob,15328.0,ærlegdom varer lengst,nno
ærlegdom varer lengst,nno,541.0,ærlighet varer lengst,nob
ause ut pengar,nno,186.0,øse ut penger,nob
øving gjer meister,nno,2084.0,øvelse gjør mester,nob
"auge for auge, tann for tann",nno,359.0,"øye for øye, tann for tann",nob
auge i nakken,nno,221.0,øyne i nakken,nob
