idiom,language,frequency
meie sin egen kake,nob,9804
mellom barken og veden,nob,29259
mellom brødre,nob,8380
mellom linjene,nob,88028
mellom oss sagt,nob,15982
mellom to permer,nob,34412
men hvor lenge var Adam i paradis,nob,4758
men i jøsse navn,nob,590
"mens gresset gror, dør kua",nob,3217
mer enn det som godt er,nob,350
mer katolsk enn paven,nob,3104
midt i fleisen,nob,13744
midt på blanke formiddagen,nob,7225
midt på svarte natta,nob,3654
midt på svarte vinteren,nob,2860
midt på treet,nob,83886
mikkel rev,nob,37685
min forstand står stille,nob,398
miste bakkekontakten,nob,3755
miste fatningen,nob,9075
miste fotfestet,nob,10625
miste gangsynet,nob,1161
miste hodet,nob,14478
miste motet,nob,38497
miste piffen,nob,431
miste tråden,nob,4707
mor Norge,nob,39362
mot all sunn fornuft,nob,4213
mot alle odds,nob,77347
mot bedre vitende,nob,46695
mot sin vilje,nob,142375
musa som brølte,nob,635
mutters alene,nob,22687
mye skrik og lite ull,nob,6004
mye står på spill,nob,20246
mye vil ha mer,nob,11369
måle krefter med noen,nob,256
målet er fullt,nob,1395
målet helliger middelet,nob,2306
måtte bite i gresset,nob,19939
måtte gå fra gård og grunn,nob,1419
måtte krype til korset,nob,3689
måtte til pers,nob,6860
måtte velge mellom pest og kolera,nob,214
mørkets fyrste,nob,12398
mørklegge noe,nob,114
mørkt som i en sekk,nob,4232
møte sin overmann,nob,643
møtes til holmgang,nob,214
narr meg ikke til å le,nob,1303
naturens luner,nob,12494
naturens muntre sønn,nob,125
"nei, den er for tjukk",nob,254
"nei, er du gal",nob,8273
"nei, si det",nob,9033
"nei, ærlig talt",nob,8937
nei takk,nob,298792
nervene står på høykant,nob,1290
noe er i gjære,nob,7755
noe for enhver smak,nob,121158
noe muffens,nob,15299
noe skjærer seg,nob,1383
noe å bite i,nob,65522
noen og hver,nob,56914
noens gode navn og rykte,nob,165
nok er nok,nob,66075
nok om det,nob,102686
nord for Sinsenkrysset,nob,18501
notere seg for noe,nob,125
null komma niks,nob,6448
nye koster feier best,nob,3688
nye krefter,nob,121385
nyte godt av noe,nob,529
nå begynner det å bli moro,nob,163
nå er hundre og ett ute,nob,228
nå for tiden,nob,156615
nå får det bære eller briste,nob,863
nå gir jeg meg levende over,nob,170
nå nye høyder,nob,6560
nå og da,nob,215643
nå skal de fattige ha takk,nob,281
nå skal det bli en annen dans,nob,785
nå står ikke verden til påske,nob,1330
når bølgene har lagt seg,nob,291
når det er sagt,nob,174321
når det kommer til stykket,nob,77979
"når det regner på presten, drypper det på klokkeren",nob,1651
når røyken har lagt seg,nob,355
når sant skal sies,nob,80086
når sjansen byr seg,nob,7410
når tiden er moden,nob,10531
"når vinen går inn, går vettet ut",nob,119
nære en slange ved sitt bryst,nob,136
nærme seg faretruende,nob,536
nød bryter alle lover,nob,2586
nød lærer naken kvinne å spinne,nob,4799
"o, hellige enfold",nob,1043
og dermed basta,nob,19145
og fanden og hans oldemor,nob,1437
ola Nordmann,nob,122640
om blikk kunne drepe,nob,278
om dagen,nob,1838074
om enn,nob,561298
om forlatelse,nob,42600
om jeg så må si,nob,10919
onkel politi,nob,13412
opp ad dage,nob,2341
opp med hodet,nob,9159
opp som en løve og ned som en skinnfell,nob,1205
oppe i det blå,nob,5113
opprette ro og orden,nob,3053
oppriktig talt,nob,90211
ord blir fattige,nob,4894
ord med brodd,nob,128
ord står mot ord,nob,903
over det ganske land,nob,79935
over hals og hode,nob,19780
over hodet på noen,nob,798
over mitt lik,nob,6535
over tid,nob,576102
overkjøre noen,nob,364
overleve seg selv,nob,842
overta klubba,nob,491
overta stafettpinnen,nob,3449
pakke inn noe,nob,392
pakke kofferten,nob,19887
pakke sammen,nob,65501
passe butikken,nob,3765
passe på som en smed,nob,1778
passere målstreken,nob,3401
pavens skjegg,nob,6975
peke i retning av,nob,13831
peke på noe,nob,15383
pengene eller livet,nob,8084
pengene på bordet,nob,23960
pigge av,nob,5258
pisk og gulrot,nob,4396
pisse i buksa for å holde varmen,nob,1070
plapre ut med noe,nob,213
plaske ned,nob,1524
plikten kaller,nob,3794
plukke på noe,nob,256
pokker i vold,nob,14366
prate piss,nob,423
prelle av som vann på gåsa,nob,379
prikken over i ' en,nob,78663
privatlivets fred,nob,54298
prostituere seg,nob,9177
prøve alle midler,nob,544
prøve krefter,nob,15624
prøve lykken,nob,49403
prøve på ny frisk,nob,116
pumpe jern,nob,1799
på avgrunnens rand,nob,6093
på barrikadene,nob,57950
på berømmelsens tinde,nob,397
på bred front,nob,53546
på bølgen blå,nob,1104
på den kontoen,nob,3212
på djevelskap,nob,834
på egen kjøl,nob,8877
på egne vegne,nob,55914
på en knivsegg,nob,9577
på en prikk,nob,34026
på et hår,nob,1793
på fastende hjerte,nob,8781
på fire hjul,nob,31310
på folkemunne,nob,144561
på forskudd,nob,198461
på fote,nob,122313
på frifot,nob,202661
på gaffelen,nob,16386
på grasrota,nob,37297
på harde livet,nob,27266
på hengende håret,nob,24307
på høykant,nob,71674
på høylys dag,nob,15328
på høyt plan,nob,17845
på kant,nob,130999
på kanten,nob,383371
på kistebunnen,nob,16218
på lik linje med,nob,271714
på livet løs,nob,96218
på løpende bånd,nob,118581
på millimeteren,nob,9043
på minuttet,nob,44191
på morgenkvisten,nob,130388
på netthinnen,nob,32467
på noens bekostning,nob,273
på ny frisk,nob,32056
på nåde og unåde,nob,14479
på plakaten,nob,179638
på pletten,nob,148763
på rappen,nob,32522
på rett kjøl,nob,119956
på seg selv kjenner man andre,nob,1389
på sekundet,nob,24003
på sikt,nob,680450
på skyggesiden,nob,21187
på slump,nob,42306
på spreng,nob,218384
på talefot,nob,142530
på tide,nob,1177300
på toppen av,nob,899947
på tro og ære,nob,12684
på tuppene,nob,3090
på tå,nob,110299
på villspor,nob,125133
på vippen,nob,45188
på æresord,nob,7228
på øverste hylle,nob,23494
pø om pø,nob,3422
rake kastanjene ut av ilden,nob,3864
rake veien,nob,6755
rav ruskende gal,nob,1609
redde stumpene,nob,19151
reise kjerringa,nob,30522
reise seg,nob,362825
reise seg av asken,nob,654
rekke ut en hånd,nob,2949
renters rente,nob,11775
renvaske seg,nob,18745
rett og skjell,nob,12813
ri sine egne kjepphester,nob,332
ri stormen av,nob,22770
ridder av den bedrøvelige skikkelse,nob,488
ride ranke,nob,8074
ris til egen bak,nob,14748
riset bak speilet,nob,17962
risikere liv og lemmer,nob,4521
risikere sitt eget skinn,nob,110
riv ruskende galt,nob,22364
rive seg i håret,nob,5737
ro seg i land,nob,4969
rolig som skjæra på tunet,nob,324
rope i munnen på hverandre,nob,517
rose seg av noe,nob,341
rotere i sin grav,nob,389
rotere rundt sin egen akse,nob,601
rotte seg sammen,nob,3455
rottene forlater det synkende skip,nob,342
russisk rulett,nob,15528
rykke frem på bred front,nob,143
rykke i lenkene,nob,123
rykke opp,nob,169903
rynke pannen,nob,7539
råde bot på,nob,44412
råtne opp,nob,6004
røde tall,nob,41387
sage tømmer,nob,1033
sale om,nob,18266
samle i lader,nob,2905
samle krefter,nob,36408
samle støv,nob,6321
samle troppene,nob,9882
samle trådene,nob,10785
samvittighetens røst,nob,4453
sand i maskineriet,nob,7720
sann mine ord,nob,7191
sant for dyden,nob,6334
sareptas krukke,nob,87481
satse på feil hest,nob,475
se både sol og måne,nob,103
se dagens lys,nob,42408
se fremover,nob,72903
se gjennom fingrene med noe,nob,422
se men ikke røre,nob,6674
se mørkt ut,nob,8659
se noe for seg,nob,159
se sannheten i øynene,nob,14305
se smått ut,nob,646
se spøkelser ved høylys dag,nob,1349
se tiden an,nob,57778
se ut som et fugleskremsel,nob,247
seige sin sjel,nob,1575
seile under falskt flagg,nob,968
sekundene tikker og går,nob,117
sekundet ) .,nob,232189
selvros stinker,nob,1505
sende opp røyksignaler,nob,115
senke blikket,nob,4106
senke hodet,nob,2191
senke lista,nob,455
senke skuldrene,nob,33110
senke stemmen,nob,3225
sent eller aldri,nob,2935
sent og tidlig,nob,205308
ser ikke ut i måneskinn,nob,181
sett med dagens øyne,nob,4270
sette alle kluter til,nob,16079
sette alt på ett kort,nob,1675
sette bein under seg,nob,422
sette bukkebein,nob,698
sette dagsordenen,nob,2492
sette en stopper for noe,nob,307
sette foten ned,nob,21893
sette grenser,nob,70717
sette griller i hodet på noen,nob,131
sette grå hår i hodet på noen,nob,560
sette hardt mot hardt,nob,20542
sette inn støtet,nob,6654
sette kaffen i halsen,nob,965
sette kryss i margen,nob,245
sette latteren i halsen,nob,164
sette livet til,nob,22392
sette navn på noe,nob,292
sette noe ut i livet,nob,249
sette noen på plass,nob,307
sette opp dampen,nob,460
sette prikken over i ' en,nob,7827
sette på bremsene,nob,4433
sette på dagsordenen,nob,1328
sette seg i respekt,nob,15930
sette seg noe i hodet,nob,140
sette seg på bakbeina,nob,3564
sette seg på skolebenken,nob,8558
sette sinnene i kok,nob,3169
sette sitt lys under en skjeppe,nob,2033
sette sjøbein,nob,5553
sette sluttstrek,nob,16394
sette spaden i jorda,nob,8787
sette spørsmålstegn ved noe,nob,364
sette søkelyset på noe,nob,292
sette tingene på plass,nob,10021
sette tæring etter næring,nob,16321
sette ut i livet,nob,49915
si det med blomster,nob,18390
si et siste farvel,nob,1076
si ja og ha,nob,614
si mer enn tusen ord,nob,1248
si stopp,nob,41302
sikte for høyt,nob,630
sikte mot stjernene,nob,504
sin vane tro,nob,45120
sinnets adel,nob,669
siste ord er sagt,nob,6067
sistemann på skansen,nob,368
sitte godt i det,nob,964
sitte i fred og ro,nob,3801
sitte i veggene,nob,426
sitte på hver sin tue,nob,1636
sitte på nåler,nob,623
sitte på tronen,nob,1764
sitte på vann og brød,nob,444
sitte som tente lys,nob,321
sitte stille i båten,nob,3158
sitte trangt i det,nob,335
sitte øverst ved bordet,nob,612
sivilisasjonens vugge,nob,2556
"skal det være, så skal det være",nob,5106
skalke alle luker,nob,925
skalte og valte,nob,32953
skape furore,nob,879
skape historie,nob,5335
skape seg en fremtid,nob,6500
skatten min,nob,25620
skeie ut,nob,15531
skifte beite,nob,15146
skikk og bruk,nob,147085
skille klinten fra hveten,nob,11384
skinne gjennom,nob,25115
skit i det,nob,711
skit i Norge leve Toten,nob,1004
skitt au,nob,11082
skitt fiske,nob,24817
skje saker og ting,nob,7580
skjære alle over én kam,nob,2314
skjære grimaser,nob,4256
skjære i ørene,nob,181
skjære igjennom,nob,23609
skjære inn til beinet,nob,1298
skjønne hvor det bærer hen,nob,404
skjønne hvor landet ligger,nob,169
skjønne tegningen,nob,725
skjønner du ikke norsk,nob,174
skli ut,nob,16171
skogens konge,nob,37691
skrape bunnen,nob,1206
skrape til seg,nob,959
skrekk og gru,nob,36110
skremme vettet av noen,nob,953
skride til verket,nob,3436
skriften på veggen,nob,23635
skrike opp,nob,17341
skrikende farger,nob,3739
skritt for skritt,nob,82479
skrive ned,nob,137693
skrive seg fra,nob,38252
skrive så blekket spruter,nob,153
skru klokka tilbake,nob,4637
skru seg opp,nob,668
skulle i ilden,nob,7456
skulle jeg til å si,nob,688
skygge banen,nob,2346
skygge noen,nob,1226
skyt ikke på pianisten,nob,1991
skyte fart,nob,28799
skyte hjertet opp i livet,nob,400
skyte med skarpt,nob,5680
skyte seg en kule for pannen,nob,582
skyte spurv med kanoner,nob,3487
skåre billige poeng,nob,163
slag i slag,nob,284115
slaget er tapt,nob,17328
slakke tøylene,nob,458
slakte gjøkalven,nob,473
slangen i paradiset,nob,7196
slenge med leppa,nob,3125
slikke sol,nob,15823
slippe billig,nob,6803
slippe billig unna,nob,2068
slippe en vind,nob,194
slippe gjennom nåløyet,nob,2544
slippe opp for noe,nob,175
sluke ordene,nob,226
slutte mens leken er god,nob,3738
slå alarm,nob,27969
slå an,nob,68676
slå barnet ut med badevannet,nob,917
slå den,nob,117884
slå feil,nob,32397
slå flikkflakk,nob,211
slå fra seg,nob,11387
slå hånden av noen,nob,137
slå hælene sammen,nob,824
slå klikk,nob,3183
slå kron og mynt,nob,358
slå leir,nob,24657
slå mynt på noe,nob,120
slå ned for fote,nob,979
slå opp,nob,162898
slå på de nasjonale strenger,nob,149
slå på skåka og mene merra,nob,216
slå på stortromma,nob,11789
slå seg fram,nob,13150
slå seg gul og blå,nob,108
slå seg på brystet,nob,13270
slå seg på flaska,nob,267
slå seg selv på munnen,nob,575
slå seg til ro,nob,112643
slå seg til ro med noe,nob,670
slå seg til tåls med noe,nob,147
slå sprekker,nob,31677
slå til lyd for noe,nob,181
slå til ridder,nob,470
slå to fluer i en smekk,nob,8710
slå ut barnet med badevannet,nob,155
slå ut i lys lue,nob,2850
slå ut med armene,nob,3597
slå øynene ned,nob,2149
slåss mot elementene,nob,131
slåss mot vindmøller,nob,1791
smake av fugl,nob,1254
smelte som smør,nob,326
smil til verden,nob,4315
smile bredt,nob,13751
smile fra øre til øre,nob,1767
smilets land,nob,23728
smykke seg med lånte fjær,nob,201
smør på flesk,nob,11142
smøre seg bort,nob,1036
smøre tjukt på,nob,1192
snakk for deg selv,nob,798
snakk norsk,nob,3486
snakk vekk,nob,801
snakke bredt,nob,221
snakke godt for seg,nob,653
snakke med seg selv,nob,2031
snakke med store bokstaver,nob,826
snakke noen etter munnen,nob,126
snakke om alt mellom himmel og jord,nob,437
snakke om løst og fast,nob,2073
snakke om snøen som fait i fjor,nob,277
snakke over seg,nob,1190
snakke rent,nob,6449
snakke rett fra levra,nob,1869
snakke rett ut av posen,nob,859
snakke sammen på tomannshånd,nob,416
snakke seg bort,nob,4805
snakke som en foss,nob,765
snakke ut med noen,nob,968
"snipp, snapp, snute",nob,31663
snu bunken,nob,1507
snu opp ned på noe,nob,195
snu saken på hodet,nob,4218
snuble i egne bein,nob,131
snuse på noe,nob,288
snøen som fait i fjor,nob,2524
snør og tårer,nob,101
som bare fy,nob,2418
som det så smukt heter,nob,5788
som en gave fra oven,nob,1025
som en lukket bok,nob,1372
som en skjebnens ironi,nob,4248
som en vind,nob,29588
som et piska skinn,nob,504
som går i to sko,nob,927
som ild i tørt gress,nob,21704
som jeg skulle ha sagt det selv,nob,149
som julekvelden på kjerringa,nob,23226
som kjerringa mot strømmen,nob,5126
som lyn fra klar himmel,nob,48975
"som man sår, skal man høste",nob,632
som merra den blinde,nob,472
"som sagt, så gjort",nob,34228
som seg hør og bør,nob,118514
som styggen sjøl,nob,859
som ved et under,nob,40068
som å komme til en annen verden,nob,2049
som å pisse i motvind,nob,164
som å skvette vann på gåsa,nob,3423
som å snakke til veggen,nob,2244
sope inn penger,nob,1407
sorgen og gleden de vandrer til hope,nob,1990
sove bort tiden,nob,343
sove middag,nob,8233
sove på sitt grønne øre,nob,196
sove som en stein,nob,1358
spar deg,nob,15672
spare seg til fant,nob,5368
sparke i grusen,nob,349
sparke noen som ligger nede,nob,279
spikke fliser,nob,2317
spile opp øynene,nob,146
spille annenfiolin,nob,6770
spille bajas,nob,801
spille ballen videre,nob,973
spille en hovedrolle,nob,6647
spille fallitt,nob,2222
spille for galleriet,nob,1384
spille liten rolle,nob,2992
spille på de nasjonale strenger,nob,140
spille på flere hester,nob,385
spille på harpe,nob,945
spille på hele registret,nob,297
spille skuespill,nob,6082
spille storkar,nob,480
spille teater,nob,29653
spille til fløyta går,nob,434
spillet er tapt,nob,4185
spise sine ord,nob,101
splitte mine bramseil,nob,2194
sporene skremmer,nob,8741
spre seg som ringer i vannet,nob,1395
spres for alle vinder,nob,2971
springe i øynene,nob,534
springe lekk,nob,1497
språklig ugress,nob,318
spy edder og galle,nob,314
spytte i nevene,nob,3693
spøk til side,nob,12887
spøke i kulissene,nob,196
spørre noen til råds,nob,536
spørre seg for,nob,6372
stable seg på beina,nob,2212
stamme fra steinalderen,nob,117
stammens hyl,nob,1689
stampe i motvind,nob,194
starte med blanke ark,nob,8191
starte med to tomme hender,nob,769
starte på ny frisk,nob,4065
stenge døren,nob,10411
sterke saker,nob,33803
stige i gradene,nob,7533
stikk den,nob,26216
stikke av,nob,254111
stikke fingeren i jorda,nob,16911
stikke hodene sammen,nob,3573
stikke hodet i sanden,nob,9986
stikke hodet inn i løvens gap,nob,118
stikke hull på byllen,nob,749
stikke i øynene,nob,373
stikke nesen i sky,nob,109
stille med blanke ark,nob,911
stille spørsmål ved noe,nob,459
stille vann har dypest grunn,nob,655
stimle sammen,nob,6914
stjele av kassen,nob,146
stjele seg,nob,4769
stjele showet,nob,2874
stokke kortene,nob,2762
stole blindt på noen,nob,153
stoppe mens leken er god,nob,728
store ord og fett flesk,nob,2937
store penger,nob,180277
storm i et vannglass,nob,13197
stramme seg opp,nob,6449
strekke hals,nob,4271
strekke seg etter stjernene,nob,132
strekke våpen,nob,24455
stride mot all fornuft,nob,260
stråle som en sol,nob,326
strømme til,nob,63892
stum som en fisk,nob,2473
styre og stell,nob,173191
stå av,nob,19057
stå bom fast,nob,621
stå brud,nob,6490
stå fjellstøtt,nob,742
stå for tur,nob,9502
stå først i køen,nob,2636
stå i begrep med,nob,334
stå i en klasse for seg,nob,566
stå i fyr og flamme,nob,101
stå i spissen for noe,nob,123
stå i stampe,nob,5262
stå inne for noe,nob,195
stå med glans,nob,256
stå med hendene i lomma,nob,607
stå med rak rygg,nob,1026
stå mellom barken og veden,nob,228
stå og samle støv,nob,281
stå opp i otta,nob,1586
stå på dagsordenen,nob,3609
stå på farten,nob,159
stå på gaten,nob,1570
stå på gløtt,nob,9558
stå på gravens rand,nob,132
stå på høykant,nob,1353
stå på programmet,nob,7839
stå på reisefot,nob,108
stå på sin rett,nob,1130
stå på stedet marsj,nob,955
stå skolerett,nob,8814
stå skrevet,nob,4640
stå som fjetret,nob,104
stå som sild i tønne,nob,1558
stå til tjeneste,nob,64743
stå til troende,nob,4637
stå ved en skillevei,nob,221
stå ved makt,nob,18876
stå øverst på dagsordenen,nob,587
suge på karamellen,nob,886
suge på labben,nob,4682
summe seg,nob,13832
sunt bondevett,nob,20015
sure oppstøt,nob,17236
surr og rot,nob,857
svare i hytt og vær,nob,211
svare med samme mynt,nob,9568
svart og hvitt,nob,44726
svart som bek,nob,2148
svarte penger,nob,26095
sveige noe,nob,1261
sverte noen,nob,593
sveve mellom himmel og jord,nob,333
sveve oppe i skyene,nob,150
sveve over vannene,nob,824
svi på pungen,nob,3192
svømme som en fisk,nob,642
sy puter under armene på noen,nob,147
synge rent,nob,2979
synge som en engel,nob,112
synke i jorda,nob,708
så det forslår,nob,10069
så det lukter svidd,nob,1895
så det suser,nob,54663
så det svir,nob,15629
så hårene reiser seg,nob,304
"så langt, så godt",nob,3235
så langt som et vondt år,nob,620
så sikkert som at to og to er fire,nob,155
så snill som dagen er lang,nob,630
så støvet gyver,nob,180
så svetten siler,nob,5425
så taket løfter seg,nob,523
så vidt båten bærer,nob,617
så ørene flagrer,nob,4006
sånn er livet,nob,691895
sønder og sammen,nob,60123
søt som honning,nob,1834
søta bror,nob,32596
ta anstøt av noe,nob,141
ta beina fatt,nob,18730
ta bølgen,nob,2499
ta den høye c,nob,153
ta det med ro,nob,228935
ta det onde ved roten,nob,1321
ta det sikre for det usikre,nob,142
ta det som det kommer,nob,14674
ta en spansk en,nob,1390
ta et oppgjør på kammerset,nob,262
ta et skritt av gangen,nob,1860
ta et stikk,nob,682
ta et tak,nob,96358
ta fart,nob,10297
ta for seg av rettene,nob,776
ta første stikk,nob,778
ta i miss,nob,1453
ta igjen det forsømte,nob,23925
ta imot en utstrakt hånd,nob,439
ta innersvingen på noen,nob,119
ta kaka,nob,3942
ta livet med ro,nob,10891
ta loven i egne hender,nob,5979
ta mannen i stedet for ballen,nob,1641
ta meg faen,nob,703
ta munnen for full,nob,11133
ta noe for god fisk,nob,256
ta noe tungt,nob,160
ta noen alvorlig,nob,181
ta noen av dage,nob,124
ta noen for gitt,nob,351
ta noen på ordet,nob,145
ta ondet ved roten,nob,6198
ta opp hansken,nob,7065
ta opp tråden,nob,11961
ta ordet,nob,67127
ta på kreftene,nob,1464
ta rev i seilene,nob,10395
ta roret,nob,6280
ta rotta på noen,nob,333
ta seg en liten en,nob,113
ta seg fem minutter,nob,581
ta seg godt betalt,nob,2163
ta seg godt ut,nob,15298
ta seg i vare,nob,10263
ta seg nær av noe,nob,305
ta seg på tak,nob,2600
ta seg sammen,nob,76378
ta seg til hodet,nob,624
ta sjumilssteg,nob,200
ta skrittet fullt ut,nob,18626
ta telling,nob,6591
ta til motmæle,nob,32269
ta til takke med noe,nob,1030
ta tyren ved homene,nob,297
ta vinden ut av seilene,nob,898
takk og farvel,nob,57930
takk skal du ha,nob,91127
takk skjebne,nob,3441
takke av,nob,10092
takke fanden for det,nob,246
takke ja til noe,nob,204
takke nei til noe,nob,265
takt og tone,nob,114351
tale for døve ører,nob,1962
tale i gåter,nob,530
tale i tunger,nob,6536
tale mot bedre vitende,nob,856
tale Roma midt imot,nob,2598
tampen brenner,nob,15309
tant og fjas,nob,5712
tap og vinn med samme sinn,nob,4898
tape terreng,nob,11688
taushet er gull,nob,13702
tegne seg på talerlista,nob,178
telle på knappene,nob,4692
tenke i nye baner,nob,17590
tenke koffert,nob,324
tenke seg om,nob,170388
tenke seg om to ganger,nob,13465
tenke seg til noe,nob,319
tenkte jeg det ikke,nob,6252
tenne på alle pluggene,nob,3086
tenne på noe,nob,939
tenne på noen,nob,443
terningen er kastet,nob,5956
tett som sild i tønne,nob,1092
tiden flyr,nob,28670
tiden tikker og går,nob,176
tiden vil vise,nob,46839
tidens tann,nob,69119
til all lykke,nob,10837
til det kjedsommelige,nob,25222
til doms,nob,85828
til en viss grad,nob,548506
til fots,nob,350939
til fulle,nob,264882
til ingen verdens nytte,nob,6890
til lands og til vanns,nob,39100
til man stuper,nob,387
til nød,nob,125227
til overmål,nob,130306
til sin tid,nob,30985
til spott og spe,nob,20821
til å ta og føle på,nob,75435
tilbake i manesjen,nob,6281
tilbe noen,nob,731
tine opp,nob,20458
tjene penger som gress,nob,406
to alen av samme stykket,nob,488
to og to er fire,nob,5537
to skritt frem og ett tilbake,nob,1054
toe sine hender,nob,10244
tone flagg,nob,17617
tone ned noe,nob,187
tordenskjolds soldater,nob,10894
tradisjonen tro,nob,221031
trappe ned noe,nob,771
tre av på naturens vegne,nob,3572
tre i bakgrunnen,nob,5049
tre i kraft,nob,204690
tre inn i de voksnes rekker,nob,963
treffe noen hjemme,nob,342
treffe spikeren på hodet,nob,1963
trekke blankt,nob,564
trekke det korteste strå,nob,4671
trekke det lengste strå,nob,5916
trekke det tyngste lasset,nob,386
trekke en kanin opp av hatten,nob,178
trekke godt sammen,nob,580
trekke i nødbremsen,nob,2449
trekke i trådene,nob,8504
trekke lodd,nob,9108
trekke pusten,nob,67149
trekke på årene,nob,11088
trekke seg inn i seg selv,nob,800
trekke seg tilbake fra verden,nob,926
trekke sitt siste sukk,nob,1347
trekke ut,nob,184491
trekke ut tiden,nob,5278
trekke vinnerloddet,nob,314
trinn for trinn,nob,45235
trives som fisken i vannet,nob,4552
tro det eller ei,nob,66416
tro kan flytte fjell,nob,5227
tro meg på mitt ord,nob,3741
tro på julenissen,nob,11992
tromme med fingrene,nob,2489
troppe opp,nob,19529
trykke på knappen,nob,18895
trå til,nob,112450
trå vannet,nob,5401
tråkke noen på tærne,nob,4057
tull og tøys,nob,43382
tung om hjertet,nob,9996
tungen på vektskålen,nob,30125
tvers igjennom,nob,197883
tåle dagens lys,nob,1796
tæres av tidens tann,nob,1022
tørne sammen,nob,6689
tørne ut,nob,6745
tørr bak ørene,nob,4243
tøye strikken,nob,3663
ulv i fareklær,nob,297
under bordet,nob,115556
under dekke av,nob,52158
under jorda,nob,75343
under lås og slå,nob,4340
under samme hatt,nob,1808
under samme tak,nob,326965
under torva,nob,12523
under tøffelen,nob,3526
undrenes tid er ikke forbi,nob,1462
unge mann,nob,195381
urent trav,nob,9818
ut i de små timer,nob,60825
ut i det blå,nob,49593
ut i verden,nob,376399
"uta blank, inna krank",nob,629
utbrodere noe,nob,180
ute av verden,nob,79551
uten lov og dom,nob,21419
uten mat og drikke duger helten ikke,nob,4906
uten sammenligning for øvrig,nob,8953
uten videre,nob,882035
uten å fortrekke en mine,nob,16227
uteske noen,nob,154
utfordre skjebnen,nob,10650
utlevere seg selv,nob,1837
vanens makt,nob,8822
vann på mølla,nob,20990
varmere himmelstrøk,nob,5217
vasse i penger,nob,687
ved et skjebnens lune,nob,1889
ved høylys dag,nob,17829
ved nærmere ettertanke,nob,38909
ved sine fulle fem,nob,24569
veggene har ører,nob,1169
veie for og imot,nob,5504
veie sine ord på gullvekt,nob,1162
veis ende,nob,79041
vekke gjenklang,nob,3221
vekke noen,nob,16220
veksle et par ord,nob,4304
vel blåst,nob,66089
vel å merke,nob,251289
velge mellom pest og kolera,nob,2255
vende noen ryggen,nob,113
vende ryggen til,nob,22431
vende tilbake til gamle synder,nob,115
vende tilbake til gamle tomter,nob,193
vende tomhendt hjem,nob,646
vente seg,nob,347567
verden er ikke stor,nob,2554
verden står ikke til påske,nob,401
verden vil bedras,nob,9125
verdens navle,nob,18104
verdens største under,nob,780
verdens tak,nob,16912
verdens undergang,nob,43889
vi alminnelige dødelige,nob,1470
vi er alle i samme båt,nob,5453
vi er i samme båt,nob,5962
vi møtes ved neste korsvei,nob,580
vifte med ørene,nob,1036
ville ha både i pose og sekk,nob,771
villig vekk,nob,43817
vinden har snudd,nob,3620
vinne gjenklang,nob,6964
vinne heder og ære,nob,670
vippe noen av pinnen,nob,121
virke som en brannfakkel,nob,190
visdommens kilde,nob,1351
vise ansikt,nob,13833
vise flagget,nob,2009
vise for all verden,nob,1720
vise gode takter,nob,719
vise seg fra sin beste side,nob,10806
vise sitt sanne ansikt,nob,2277
vise sitt sanne jeg,nob,1178
vise tenner,nob,16247
vise vei,nob,68521
vite hvor skoen trykker,nob,2352
vondt blod,nob,26556
vondt skal vondt fordrive,nob,1613
vri på ordene,nob,468
vri seg,nob,93814
vri seg som en orm,nob,213
vri seg unna,nob,38238
våge seg ut på tynn is,nob,157
våge skinnet,nob,1406
våkne til liv,nob,10575
våre veier krysses,nob,640
våre øyne møttes,nob,706
vær varsom,nob,533064
være allemannseie,nob,1818
være altetende,nob,450
være av det onde,nob,3328
være avblomstret,nob,218
være avholdende,nob,3680
være bankers,nob,574
være bare blåbær,nob,179
være barn av sin tid,nob,208
være bastet og bundet,nob,498
være bitre fiender,nob,223
være blakk,nob,3196
være bleik,nob,319
være blind,nob,49785
være blærete,nob,382
være bombastisk,nob,981
være bryet verdt,nob,3221
være bråkjekk,nob,531
være dagligdags,nob,744
være den minste kunst,nob,241
være den rake motsetning,nob,149
være den rene galskap,nob,1385
være det eneste saliggjørende,nob,903
være det rene helvete,nob,226
være djevelens verk,nob,554
være dumdristig,nob,2093
være dyptpløyende,nob,116
være død og begravet,nob,851
være dødsens,nob,2229
være dødsens alvor,nob,272
være døgnvill,nob,144
være dømt til å ...,nob,6254
være edelmodig,nob,502
være egensindig,nob,283
være ellevill,nob,157
være en annen sak,nob,2856
være en av gutta,nob,3857
være en bitter pille å sveige,nob,263
være en evig kamp,nob,154
være en glad laks,nob,197
være en hard negl,nob,469
være en kald fisk,nob,277
være en mann av folket,nob,146
være en mann av få ord,nob,157
være en morgenfugl,nob,253
være en reddhare,nob,186
være en røst i ørkenen,nob,121
være en saga blott,nob,18350
være en sak for seg,nob,1640
være en solstråle,nob,219
være en ulv i fåreklær,nob,219
være eneveldig,nob,473
være ensporet,nob,485
være enøyd,nob,276
være eplekjekk,nob,289
være epokegjørende,nob,868
være et avsluttet kapitel,nob,222
være et eksempel til skrekk og advarsel,nob,163
være et galehus,nob,166
være et hederlig unntak,nob,115
være et helvete,nob,2450
være et lett bytte,nob,3111
være et nummer for liten,nob,106
være et plaster på såret,nob,1673
være et sjakktrekk,nob,743
være et skoleeksempel,nob,1228
være et skår i gleden,nob,274
